city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
宿迁市,"321000000000",江苏省,T3,Third-tier Cities,2.8596,1.6868,0.0494,1.53193333333333,34.1457489878543,0.2522,"65","176","748","5.32818115270582"
山南市,"541000000000",西藏自治区,T3,Third-tier Cities,6.4361,2.3253,,,,,"0","1","5","0.828302216596"
岳阳市,"431000000000",湖南省,T3,Third-tier Cities,3.8232,1.5247,-0.0262,1.7739,-58.1946564885496,0.1961,"3","2","24","1.9012608248854"
崇左市,"451000000000",广西壮族自治区,T3,Third-tier Cities,6.6375,1.7967,0.0228,2.819,78.8026315789474,0.1158,"0","0","0","0"
巴中市,"512000000000",四川省,T3,Third-tier Cities,4.315,0.9774,-0.0795,1.73763333333333,-12.2943396226415,0.1625,"4","4","13","1.95264438482782"
巴彦淖尔市,"151000000000",内蒙古自治区,T3,Third-tier Cities,-0.0371,1.097,-0.0841,0.325266666666667,-13.0439952437574,0.3932,"0","0","3","0.462098120373297"
巴音郭楞蒙古自治州,"653000000000",新疆维吾尔自治区,T3,Third-tier Cities,0.4049,,,,,,"0","1","10","1.03034748445277"
常州市,"320000000000",江苏省,T3,Third-tier Cities,0.7594,1.3645,0.0663,0.730066666666667,20.5806938159879,0.4296,"3","9","300","3.13199657295427"
常德市,"431000000000",湖南省,T3,Third-tier Cities,8.2829,1.0969,-0.0668,3.10433333333333,-16.4206586826347,0.0881,"3","2","7","1.52144939715595"
平凉市,"621000000000",甘肃省,T3,Third-tier Cities,2.3992,0.9771,-0.0128,1.12116666666667,,0.2812,"3","0","11","1.2904003369693"
平顶山市,"410000000000",河南省,T3,Third-tier Cities,1.2464,0.9614,0.0447,0.750833333333333,21.5078299776286,0.4145,"8","3","231","3.01008543670747"
广元市,"511000000000",四川省,T3,Third-tier Cities,5.9771,1.5294,-0.06,2.48216666666667,-25.49,0.1252,"13","3","17","2.30524114954377"
广安市,"512000000000",四川省,T3,Third-tier Cities,5.6928,0.9787,-0.0416,2.20996666666667,-23.5264423076923,0.1255,"3","1","4","1.22962648470465"
广州市,"440000000000",广东省,T1,Super-tier Cities,0.5665,1.1852,0.2587,0.670133333333333,4.58136838036336,0.4926,"118","130","2355","5.80634712036139"
庆阳市,"621000000000",甘肃省,T3,Third-tier Cities,3.2533,1.115,0.0255,1.4646,43.7254901960784,0.2185,"20","3","26","2.57555122161588"
廊坊市,"131000000000",河北省,T3,Third-tier Cities,1.3131,1.1445,0.145,0.867533333333333,7.89310344827586,0.409,"3","1","15","1.61734342130654"
延安市,"611000000000",陕西省,T3,Third-tier Cities,1.2693,0.8571,-0.0102,0.7054,,0.4113,"2","0","2","0.732408192445407"
延边朝鲜族自治州,"222000000000",吉林省,T3,Third-tier Cities,0.9891,,,,,,"8","7","177","3.15281655643605"
开封市,"410000000000",河南省,T3,Third-tier Cities,3.0593,1.1815,0.0342,1.425,34.546783625731,0.2343,"1","1","17","1.42555537300535"
张家口市,"131000000000",河北省,T3,Third-tier Cities,0.3953,0.7667,-0.0243,0.379233333333333,-31.5514403292181,0.5534,"2","6","24","2.08779942086387"
张家界市,"431000000000",湖南省,T3,Third-tier Cities,13.1313,0.7475,-0.0182,4.6202,,0.0555,"1","2","68","2.0086219912751"
张掖市,"621000000000",甘肃省,T3,Third-tier Cities,2.0739,1.3304,-0.0061,1.13273333333333,,0.3051,"1","0","36","1.43468836440139"
徐州市,"320000000000",江苏省,T3,Third-tier Cities,1.3781,1.0878,0.0419,0.835933333333334,25.9618138424821,0.3864,"9","10","87","3.05927239342354"
德宏傣族景颇族自治州,"533000000000",云南省,T3,Third-tier Cities,1.7566,,,,,,"2","0","30","1.51086649771775"
德州市,"371000000000",山东省,T3,Third-tier Cities,2.1223,0.8398,0.0251,0.995733333333333,33.4581673306773,0.3074,"0","0","1","0.231049060186648"
德阳市,"511000000000",四川省,T3,Third-tier Cities,3.5476,1.2817,-0.0345,1.59826666666667,-37.1507246376812,0.2041,"10","3","30","2.40605894613447"
忻州市,"141000000000",山西省,T3,Third-tier Cities,0.7294,1.4785,-0.0194,0.7295,,0.4003,"0","0","2","0.366204096222703"
怀化市,"431000000000",湖南省,T3,Third-tier Cities,4.5427,0.8901,0.001,1.81126666666667,,0.1547,"3","1","18","1.67462684028209"
怒江傈僳族自治州,"533000000000",云南省,T3,Third-tier Cities,2.6543,,,,,,"0","0","4","0.5364793041447"
恩施土家族苗族自治州,"423000000000",湖北省,T3,Third-tier Cities,7.1418,,,,,,"2","1","25","1.68328533574985"
惠州市,"441000000000",广东省,T3,Third-tier Cities,2.0107,1.2956,0.2167,1.17433333333333,5.97877249653899,0.343,"8","62","395","4.10725783832741"
成都市,"510000000000",四川省,T2,Second-tier Cities,1.3821,1.4119,0.3398,1.0446,4.15509123013537,0.415,"76","129","1320","5.46582805894386"
扬州市,"321000000000",江苏省,T3,Third-tier Cities,2.2411,1.3712,-0.0227,1.19653333333333,-60.4052863436123,0.2908,"21","8","105","3.31723537493553"
承德市,"131000000000",河北省,T3,Third-tier Cities,0.4977,0.7168,0.0056,0.4067,,0.5549,"0","1","30","1.3757114616817"
抚州市,"361000000000",江西省,T3,Third-tier Cities,3.0812,1.5156,0.0316,1.5428,47.9620253164557,0.2453,"13","3","12","2.19676701606556"
抚顺市,"210000000000",辽宁省,T3,Third-tier Cities,-0.1391,0.2304,-0.0926,-0.000433333333333337,-2.48812095032397,0.6842,"0","0","7","0.693147180559945"
拉萨市,"540000000000",西藏自治区,T3,Third-tier Cities,0.4638,1.7709,0.1508,0.795166666666667,11.7433687002653,0.3388,"8","4","99","2.8039442252528"
揭阳市,"445000000000",广东省,T3,Third-tier Cities,2.072,0.7431,0.058,0.9577,12.8120689655172,0.3097,"1","3","15","1.61734342130654"
攀枝花市,"510000000000",四川省,T3,Third-tier Cities,0.1242,0.9454,-0.0438,0.341933333333333,-21.5844748858447,0.4531,"1","1","36","1.66573742458804"
文山壮族苗族自治州,"533000000000",云南省,T3,Third-tier Cities,1.1593,,,,,,"0","1","8","0.963457252632055"
新乡市,"411000000000",河南省,T3,Third-tier Cities,1.5923,1.095,0.0843,0.923866666666667,12.9893238434164,0.3733,"3","13","37","2.55431261682051"
新余市,"361000000000",江西省,T3,Third-tier Cities,2.4565,0.9968,0.029,1.16076666666667,34.3724137931034,0.2784,"3","1","3","1.15524530093324"
无锡市,"320000000000",江苏省,T2,Second-tier Cities,1.2953,0.9809,0.104,0.7934,9.43173076923077,0.4204,"30","81","1496","5.05064161205634"
日喀则市,"540000000000",西藏自治区,T3,Third-tier Cities,6.7968,2.2528,,,,,"8","2","34","2.28372830916458"
日照市,"371000000000",山东省,T3,Third-tier Cities,0.7456,0.9644,0.0691,0.593033333333333,13.9565846599132,0.4883,"14","0","15","1.826879641114"
昆明市,"530000000000",云南省,T2,Second-tier Cities,0.4417,1.4713,0.0929,0.668633333333333,15.8374596340151,0.3838,"33","74","641","4.76947898061414"
昌吉回族自治州,"652000000000",新疆维吾尔自治区,T3,Third-tier Cities,0.2385,,,,,,"2","1","5","1.1945063128187"
昌都市,"540000000000",西藏自治区,T3,Third-tier Cities,2.4887,2.3235,,,,,"1","4","37","1.98005708424014"
昭通市,"531000000000",云南省,T3,Third-tier Cities,1.727,1.5913,0.0869,1.13506666666667,18.3118527042578,0.323,"1","0","7","0.924196240746594"
晋中市,"141000000000",山西省,T3,Third-tier Cities,1.6776,1.5919,0.0338,1.1011,47.0976331360947,0.319,"13","4","19","2.41474250520112"
晋城市,"141000000000",山西省,T3,Third-tier Cities,1.8759,1.4411,0.0174,1.11146666666667,,0.3137,"0","0","1","0.231049060186648"
普洱市,"531000000000",云南省,T3,Third-tier Cities,0.6951,2.0589,0.0091,0.921033333333333,,0.3053,"0","0","33","1.17545350820539"
景德镇市,"360000000000",江西省,T3,Third-tier Cities,6.8498,0.7656,0.0318,2.54906666666667,24.0754716981132,0.1042,"7","6","47","2.63218423388101"
曲靖市,"530000000000",云南省,T3,Third-tier Cities,0.719,1.7155,0.0574,0.830633333333333,29.8867595818815,0.361,"3","4","6","1.64721414086977"
朔州市,"141000000000",山西省,T3,Third-tier Cities,0.1466,0.5253,-0.0663,0.201866666666667,-7.92307692307692,0.6072,"0","0","1","0.231049060186648"
朝阳市,"211000000000",辽宁省,T3,Third-tier Cities,-0.1358,0.0808,-0.0429,-0.0326333333333333,-1.88344988344988,0.8151,"1","0","2","0.597253156409352"
本溪市,"211000000000",辽宁省,T3,Third-tier Cities,0.5074,0.527,-0.0862,0.316066666666667,-6.11368909512761,0.5542,"0","0","0","0"
来宾市,"451000000000",广西壮族自治区,T3,Third-tier Cities,0.7822,0.9973,0.0296,0.603033333333333,33.6925675675676,0.4658,"0","0","9","0.767528364331349"
杭州市,"330000000000",浙江省,T3,Third-tier Cities,0.9185,1.3788,0.2091,0.835466666666667,6.59397417503587,0.4439,"50","48","1339","5.00802360792664"
松原市,"221000000000",吉林省,T3,Third-tier Cities,0.4539,-0.4564,-0.0649,-0.0224666666666666,7.03235747303544,0.5121,"0","0","2","0.366204096222703"
林芝市,"540000000000",西藏自治区,T3,Third-tier Cities,5.4124,1.8773,,,,,"0","0","13","0.87968577653842"
果洛藏族自治州,"633000000000",青海省,T3,Third-tier Cities,2.7808,,,,,,"0","0","6","0.648636716351771"
枣庄市,"370000000000",山东省,T3,Third-tier Cities,2.178,0.8652,0.0689,1.03736666666667,12.5573294629898,0.3048,"2","3","27","1.93903705332107"
柳州市,"450000000000",广西壮族自治区,T3,Third-tier Cities,2.1169,0.7554,0.069,0.980433333333333,10.9478260869565,0.3055,"7","3","24","2.22820390922264"
