city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
清远市,"442000000000",广东省,T3,Third-tier Cities,"2016",5570,134.06,14043000,136.99,432,106.48
清远市,"442000000000",广东省,T3,Third-tier Cities,"2017",6625,159.45,14745400,143.84,437,107.72
清远市,"442000000000",广东省,T3,Third-tier Cities,"2018",6913,166.38,15753200,153.67,443,109.19
清远市,"442000000000",广东省,T3,Third-tier Cities,"2019",6912,166.35,17044700,166.27,446,109.93
清远市,"442000000000",广东省,T3,Third-tier Cities,"2020",6787,163.35,18043600,176.01,0,0
清远市,"442000000000",广东省,T3,Third-tier Cities,"2021",8375,201.56,20006900,195.17,452,111.41
清远市,"442000000000",广东省,T3,Third-tier Cities,"2022",8066,194.13,20501400,199.99,454,111.91
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2012",6847,100,37065178,100,800.2,100
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2013",12676,185.13,40679068,109.75,807.2,100.87
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2014",12078,176.4,43505966,117.38,813.7,101.69
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2015",12773,186.55,46703535,126,811.21,101.38
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2016",13392,195.59,51250114,138.27,818,102.22
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2017",15223,222.33,54121330,146.02,825,103.1
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2018",14644,213.87,60397732,162.95,829,103.6
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2019",14445,210.97,66080174,178.28,832,103.97
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2020",15400,224.92,68504791,184.82,0,0
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2021",17501,255.6,76588086,206.63,833,104.1
温州市,"330000000000",浙江省,T3,Third-tier Cities,"2022",16538,241.54,80813971,218.03,832,103.97
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2012",1852,100,11046300,100,565.1,100
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2013",3312,178.83,12607100,114.13,569.8,100.83
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2014",2448,132.18,13534500,122.53,561.4,99.35
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2015",2687,145.09,13644200,123.52,556.72,98.52
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2016",3415,184.4,14104000,127.68,557,98.57
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2017",5215,281.59,15470100,140.05,556,98.39
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2018",6161,332.67,17243300,156.1,546,96.62
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2019",6411,346.17,18365300,166.26,543,96.09
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2020",5576,301.08,18564200,168.06,0,0
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2021",5969,322.3,20752800,187.87,538,95.2
渭南市,"611000000000",陕西省,T3,Third-tier Cities,"2022",6396,345.36,22011300,199.26,536,94.85
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2012",2799,100,17481084,100,261.4,100
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2013",5110,182.57,19307769,110.45,262.5,100.42
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2014",4706,168.13,20839466,119.21,263.8,100.92
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2015",5558,198.57,22230569,127.17,263.71,100.88
