year,city,population,corridor_id,corridor_nm,node_type
"2013",驻马店市,"896",KG,Beijing-Guangzhou,middle
"2014",驻马店市,"920.6",KG,Beijing-Guangzhou,middle
"2015",驻马店市,"930.88",KG,Beijing-Guangzhou,middle
"2016",驻马店市,"949",KG,Beijing-Guangzhou,middle
"2017",驻马店市,"961",KG,Beijing-Guangzhou,middle
"2018",驻马店市,"964",KG,Beijing-Guangzhou,middle
"2019",驻马店市,"964",KG,Beijing-Guangzhou,middle
"2020",驻马店市,,KG,Beijing-Guangzhou,middle
"2021",驻马店市,"967",KG,Beijing-Guangzhou,middle
"2022",驻马店市,"966",KG,Beijing-Guangzhou,middle
"2012",武汉市,"821.7",KG,Beijing-Guangzhou,core
"2013",武汉市,"822.1",KG,Beijing-Guangzhou,core
"2014",武汉市,"827.3",KG,Beijing-Guangzhou,core
"2015",武汉市,"829.27",KG,Beijing-Guangzhou,core
"2016",武汉市,"834",KG,Beijing-Guangzhou,core
"2017",武汉市,"854",KG,Beijing-Guangzhou,core
"2018",武汉市,"884",KG,Beijing-Guangzhou,core
"2019",武汉市,"906",KG,Beijing-Guangzhou,core
"2020",武汉市,,KG,Beijing-Guangzhou,core
"2021",武汉市,"934",KG,Beijing-Guangzhou,core
"2022",武汉市,"944",KG,Beijing-Guangzhou,core
"2012",长沙市,"660.6",KG,Beijing-Guangzhou,core
"2013",长沙市,"662.8",KG,Beijing-Guangzhou,core
"2014",长沙市,"671.4",KG,Beijing-Guangzhou,core
"2015",长沙市,"680.36",KG,Beijing-Guangzhou,core
"2016",长沙市,"696",KG,Beijing-Guangzhou,core
"2017",长沙市,"709",KG,Beijing-Guangzhou,core
"2018",长沙市,"729",KG,Beijing-Guangzhou,core
"2019",长沙市,"738",KG,Beijing-Guangzhou,core
"2020",长沙市,,KG,Beijing-Guangzhou,core
"2021",长沙市,"760",KG,Beijing-Guangzhou,core
"2022",长沙市,"768",KG,Beijing-Guangzhou,core
"2012",湘潭市,"291.8",KG,Beijing-Guangzhou,middle
"2013",湘潭市,"289.9",KG,Beijing-Guangzhou,middle
"2014",湘潭市,"291.5",KG,Beijing-Guangzhou,middle
